commodity,region,n_years,corr_detr_rain_yield,corr_detr_tmax_yield,rain_cv,yield_detrended_cv
wheat,NSW Central West,35,0.09905018191660535,-0.09136092163609046,0.309844032671528,0.44491893300571267
wheat,NSW Coastal,17,0.45405447603890187,-0.23999052874169605,0.22276891675588942,0.840542308621187
wheat,NSW North West Slopes and Plains,35,0.171707121117538,-0.15641917003933276,0.2881750393328803,0.4476224791008096
wheat,NSW Riverina,35,0.10100604712726095,-0.10477356974998187,0.30177137615188143,0.37980749768204775
wheat,NSW Tablelands (Northern Central and Southern),35,-0.04342344036161799,0.02055629752535979,0.2159187050681392,0.4243509773588386
wheat,QLD Eastern Darling Downs,35,0.1176670075170208,-0.1759345700699308,0.2743162459694155,0.3659107671455476
wheat,QLD Southern Coastal - Curtis to Moreton,35,0.3931165793319239,-0.25570941003029846,0.24491070182951916,0.4195598148552695
wheat,QLD Western Downs and Central Highlands,35,0.13249168594118527,-0.015149789880074208,0.28141280496876614,0.31491439122780257
wheat,SA Eyre Peninsula,35,0.03269761262416562,-0.17126534371045277,0.24363959403156615,0.3083722631623767
wheat,SA Murray Lands and Yorke Peninsula,35,-0.1406879413085519,-0.07427550694319937,0.2507296409067187,0.2520021497032541
wheat,SA South East,35,-0.18730778026825862,-0.2202845375454084,0.1798002504999919,0.29240476550328165
wheat,TAS Tasmania,33,-0.2849234843595396,0.03492348480641443,0.2107690402281492,0.265804034832531
wheat,VIC Central North,35,0.11469866251763224,-0.24527392821608202,0.28716029797441156,0.3825123889531601
wheat,VIC Mallee,35,-0.04900403074913661,-0.07768041107708742,0.3177039334883997,0.3898018657113794
wheat,VIC Southern and Eastern Victoria,35,-0.14829896654968774,-0.16230277710683833,0.18657463641535346,0.28235103525717753
wheat,VIC Wimmera,35,-0.03891237458592617,-0.1913864197417961,0.24282272508676428,0.3560795606905503
wheat,WA Central and Southern Wheat Belt,35,-0.19970975714271938,0.005986787686667968,0.1791024855679282,0.2000520145091116
wheat,WA Northern and Eastern Wheat Belt,35,-0.22808476753882403,0.13509928007433017,0.22222457650806046,0.2924331167279112
wheat,WA South West Coastal,35,-0.2246048380752313,0.022760173177297803,0.15288533939787916,0.20144221819237182
barley,NSW Central West,35,0.1993533467022718,-0.17913729015820115,0.309844032671528,0.4263661710150625
barley,NSW Coastal,20,-0.018072748527883747,0.10292552140683296,0.2617235257865512,0.8497282017627512
barley,NSW North West Slopes and Plains,35,0.08910195578375053,-0.01242453745873736,0.2881750393328803,0.38451328308285954
barley,NSW Riverina,35,0.16301490915681413,-0.1630543200352501,0.30177137615188143,0.37566259293064463
barley,NSW Tablelands (Northern Central and Southern),33,-0.03250298502505895,-0.10467880852747526,0.2202138815015914,0.5207113249651925
barley,QLD Eastern Darling Downs,35,0.16010162242268286,-0.18654183035807814,0.2743162459694155,0.37200394433132533
barley,QLD Southern Coastal - Curtis to Moreton,29,0.3831684016120016,-0.19733641525630014,0.22185781145425837,0.6503339927777679
barley,QLD Western Downs and Central Highlands,35,0.20811241505557954,-0.04429475074641545,0.28141280496876614,0.4618338600435473
barley,SA Eyre Peninsula,35,0.11763627744540626,-0.17410106864707878,0.24363959403156615,0.2595159218092991
barley,SA Murray Lands and Yorke Peninsula,35,-0.05680699135775877,0.0038529695525119866,0.2507296409067187,0.238958396884437
barley,SA South East,35,-0.14638286439472006,-0.24489913106343641,0.1798002504999919,0.25756363386410197
barley,TAS Tasmania,35,-0.105336489394068,-0.02393523034274484,0.20494939425818456,0.23737898099274812
barley,VIC Central North,35,0.10635080454006093,-0.2203208578061488,0.28716029797441156,0.37881799489503626
barley,VIC Mallee,35,-0.03545898494999822,-0.08646662120601895,0.3177039334883997,0.39395458728549515
barley,VIC Southern and Eastern Victoria,35,0.023022113460548298,-0.28009871918254814,0.18657463641535346,0.2707538224641829
barley,VIC Wimmera,35,-0.08169220039179743,-0.1385538972627885,0.24282272508676428,0.36078917904243135
barley,WA Central and Southern Wheat Belt,35,-0.20139463048235595,0.0022159950706105093,0.1791024855679282,0.1853343015267621
barley,WA Northern and Eastern Wheat Belt,35,-0.17766827592476475,0.03486741066463528,0.22222457650806046,0.29445378136514394
barley,WA South West Coastal,35,0.039213850592773714,-0.14825363241670794,0.15288533939787916,0.15721691016619577
canola,NSW Central West,31,0.15546456774328046,-0.1831062512219144,0.3263707011443275,0.48591903697226285
canola,NSW North West Slopes and Plains,24,0.308462046883356,-0.32027095533614286,0.2715441667267168,0.3789862703861016
canola,NSW Riverina,31,0.17427512552703558,-0.23640791668316208,0.31277174603653884,0.3492623089901877
canola,NSW Tablelands (Northern Central and Southern),23,0.4013884852900936,-0.47081631296017046,0.2425195883638155,0.5111326290855113
canola,SA Eyre Peninsula,31,-0.108379961567805,-0.12721815054908803,0.21835295915253589,0.27577864511252315
canola,SA Murray Lands and Yorke Peninsula,31,-0.10984470162797658,-0.2919653070521332,0.23231169417805095,0.3199476767326801
canola,SA South East,31,-0.013653919512419786,-0.36947704455889846,0.17228234451074964,0.291382893988068
canola,VIC Central North,31,0.026572305633076727,-0.20658052864712687,0.29083759687915617,0.3363092338390214
canola,VIC Mallee,30,0.23208370731058262,-0.30600393924027697,0.3092745569285165,0.4589936284282456
canola,VIC Southern and Eastern Victoria,30,-0.07544081369423998,-0.18040980862960987,0.18195910406437849,0.2235974959534829
canola,VIC Wimmera,31,-0.055685172289182155,-0.244288424159927,0.2390459203546313,0.33833503314757696
canola,WA Central and Southern Wheat Belt,31,-0.06764576367961832,0.02245842772365363,0.1815309539109977,0.2245592777948876
canola,WA Northern and Eastern Wheat Belt,30,0.08959004260767156,-0.008362081292152311,0.22322932312876226,0.7464159375651381
canola,WA South West Coastal,31,-0.1338332792796152,0.13480176526672735,0.1578721538862573,0.20464531134844927
